TP,FP,TN,FN,sensitivity,specificity,roc_auc,pr_auc,f1,precision,balanced_accuracy,Fold,Best_Params
59,187,389,44,0.5728155339805825,0.6753472222222222,0.6794262405609494,0.298954076731657,0.33810888252148996,0.23983739837398374,0.6240813781014023,1,"{'model__subsample': 0.8, 'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 0.05}"
68,193,383,35,0.6601941747572816,0.6649305555555556,0.6894383764832794,0.3023188176033149,0.37362637362637363,0.26053639846743293,0.6625623651564185,2,"{'model__subsample': 0.8, 'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 0.05}"
68,192,383,35,0.6601941747572816,0.6660869565217391,0.7311439425918109,0.37678894157724585,0.3746556473829201,0.26153846153846155,0.6631405656395104,3,"{'model__subsample': 0.8, 'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 0.05}"
70,162,413,33,0.6796116504854369,0.7182608695652174,0.7651160827353314,0.3719255779250013,0.417910447761194,0.3017241379310345,0.6989362600253272,4,"{'model__subsample': 0.8, 'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 0.05}"
60,177,398,43,0.5825242718446602,0.6921739130434783,0.6972562262558042,0.3259168073663568,0.35294117647058826,0.25316455696202533,0.6373490924440692,5,"{'model__subsample': 0.8, 'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 0.05}"
