TP,FP,TN,FN,sensitivity,specificity,roc_auc,pr_auc,f1,precision,balanced_accuracy,Fold,Best_Params
65,197,379,38,0.6310679611650486,0.6579861111111112,0.7001752966558791,0.30259170337849417,0.3561643835616438,0.2480916030534351,0.6445270361380799,1,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 100, 'model__depth': 4}"
71,216,360,32,0.6893203883495146,0.625,0.6950343851132686,0.30083491848654703,0.3641025641025641,0.24738675958188153,0.6571601941747574,2,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 5, 'model__iterations': 100, 'model__depth': 4}"
70,204,371,33,0.6796116504854369,0.6452173913043479,0.7346053186998733,0.383198509624652,0.3713527851458886,0.25547445255474455,0.6624145208948924,3,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 100, 'model__depth': 4}"
75,178,397,28,0.7281553398058253,0.6904347826086956,0.7830645842127479,0.4154247560109926,0.42134831460674155,0.2964426877470356,0.7092950612072604,4,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 5, 'model__iterations': 100, 'model__depth': 4}"
69,194,381,34,0.6699029126213593,0.662608695652174,0.7192233009708737,0.3331828910858572,0.3770491803278688,0.2623574144486692,0.6662558041367665,5,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 5, 'model__iterations': 100, 'model__depth': 4}"
