model,sensitivity Mean±std,specificity Mean±std,roc_auc Mean±std,pr_auc Mean±std,f1 Mean±std,precision Mean±std,balanced_accuracy Mean±std
CatBoost,0.680±0.035,0.656±0.024,0.726±0.035,0.347±0.051,0.378±0.025,0.262±0.020,0.668±0.025
SVM,0.701±0.039,0.629±0.038,0.726±0.037,0.340±0.055,0.372±0.031,0.254±0.025,0.665±0.031
Logistic,0.693±0.035,0.656±0.038,0.730±0.038,0.339±0.056,0.385±0.035,0.266±0.029,0.674±0.033
XGBoost,0.631±0.050,0.683±0.022,0.712±0.035,0.335±0.037,0.371±0.030,0.263±0.023,0.657±0.029
RandomForest,0.256±0.151,0.909±0.091,0.713±0.033,0.332±0.041,0.273±0.076,0.388±0.084,0.582±0.033
DecisionTree,0.602±0.117,0.626±0.066,0.655±0.035,0.237±0.015,0.324±0.031,0.224±0.018,0.614±0.035
