TP,FP,TN,FN,sensitivity,specificity,roc_auc,pr_auc,f1,precision,balanced_accuracy,Fold,Best_Params
69,206,370,34,0.6699029126213593,0.6423611111111112,0.7076085490830636,0.28033091582952957,0.36507936507936506,0.2509090909090909,0.6561320118662353,1,{'model__C': 1.0}
68,223,353,35,0.6601941747572816,0.6128472222222222,0.6887978694714132,0.3054377136219911,0.34517766497461927,0.23367697594501718,0.6365206984897519,2,{'model__C': 1.0}
73,212,363,30,0.7087378640776699,0.6313043478260869,0.7332883073026593,0.34690327859098813,0.37628865979381443,0.256140350877193,0.6700211059518784,3,{'model__C': 0.1}
77,173,402,26,0.7475728155339806,0.6991304347826087,0.7891768678767414,0.42702718134219897,0.43626062322946174,0.308,0.7233516251582947,4,{'model__C': 0.1}
70,177,398,33,0.6796116504854369,0.6921739130434783,0.7291853102574927,0.3333725968802478,0.4,0.2834008097165992,0.6858927817644576,5,{'model__C': 0.1}
