TP,FP,TN,FN,sensitivity,specificity,roc_auc,pr_auc,f1,precision,balanced_accuracy,Fold,Best_Params
55,216,360,48,0.5339805825242718,0.625,0.654513888888889,0.23798592516658046,0.29411764705882354,0.2029520295202952,0.5794902912621359,1,"{'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_depth': 5}"
63,237,339,40,0.6116504854368932,0.5885416666666666,0.616968379180151,0.22044242467040903,0.31265508684863524,0.21,0.60009607605178,2,"{'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_depth': 5}"
69,208,367,34,0.6699029126213593,0.6382608695652174,0.674301392992824,0.23493962399475574,0.3631578947368421,0.2490974729241877,0.6540818910932884,3,"{'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_depth': 5}"
77,258,317,26,0.7475728155339806,0.551304347826087,0.7020514985225832,0.26061955574687334,0.3515981735159817,0.2298507462686567,0.6494385816800338,4,"{'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_depth': 5}"
46,157,418,57,0.44660194174757284,0.7269565217391304,0.6261713803292529,0.22934629402043474,0.3006535947712418,0.22660098522167488,0.5867792317433516,5,"{'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_depth': 5}"
