TP,FP,TN,FN,sensitivity,specificity,roc_auc,pr_auc,f1,precision,balanced_accuracy,Fold,Best_Params
68,211,365,35,0.6601941747572816,0.6336805555555556,0.7020968176914779,0.2885475871330435,0.35602094240837695,0.24372759856630824,0.6469373651564185,1,"{'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 10}"
70,242,334,33,0.6796116504854369,0.5798611111111112,0.6953209277238404,0.3249870971932496,0.3373493975903614,0.22435897435897437,0.6297363807982741,2,"{'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 1}"
76,228,347,27,0.7378640776699029,0.6034782608695652,0.7395187842971718,0.38081168243513425,0.37346437346437344,0.25,0.670671169269734,3,"{'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 1}"
77,186,389,26,0.7475728155339806,0.6765217391304348,0.7860025327142255,0.41295744406954044,0.4207650273224044,0.29277566539923955,0.7120472773322077,4,"{'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 10}"
70,201,374,33,0.6796116504854369,0.6504347826086957,0.7081637821865766,0.29053929670655587,0.37433155080213903,0.25830258302583026,0.6650232165470663,5,"{'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 1}"
