Feature,Coefficient
age,1.0486013693422902
male,0.9338307538707866
cigsPerDay,0.8896518256364361
diabetes,0.6530537607402629
prevalentStroke,0.6338319354515973
BPMeds,0.46541549144442124
education,0.3896927911379572
sysBP,0.31834145140784337
prevalentHyp,0.21425576857175413
totChol,0.12520486790139213
diaBP,0.06230770160254523
glucose,0.0357979966968066
BMI,0.01833888833651125
heartRate,-0.0409735657107406
currentSmoker,-4.579873239853374
