TP,FP,TN,FN,sensitivity,specificity,roc_auc,pr_auc,f1,precision,balanced_accuracy,Fold,Best_Params
9,10,566,94,0.08737864077669903,0.9826388888888888,0.6812634843581447,0.29732476315880957,0.14754098360655737,0.47368421052631576,0.5350087648327939,1,"{'model__n_estimators': 200, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': None}"
29,50,526,74,0.2815533980582524,0.9131944444444444,0.689623786407767,0.3061492881298912,0.31868131868131866,0.3670886075949367,0.5973739212513485,2,"{'model__n_estimators': 200, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': None}"
21,35,540,82,0.20388349514563106,0.9391304347826087,0.7260109750949768,0.35497171742238526,0.2641509433962264,0.375,0.5715069649641199,3,"{'model__n_estimators': 200, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': None}"
22,26,549,81,0.21359223300970873,0.9547826086956521,0.762245673279865,0.3928887353886223,0.2913907284768212,0.4583333333333333,0.5841874208526804,4,"{'model__n_estimators': 200, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': None}"
51,142,433,52,0.49514563106796117,0.7530434782608696,0.7034360489658084,0.30929519575153797,0.34459459459459457,0.26424870466321243,0.6240945546644154,5,"{'model__n_estimators': 200, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 6}"
