TP,FP,TN,FN,sensitivity,specificity,roc_auc,pr_auc,f1,precision,balanced_accuracy,Fold,Best_Params
19,5,21,4,0.8260869565217391,0.8076923076923077,0.9264214046822742,0.9295923324443314,0.8085106382978723,0.7916666666666666,0.8168896321070234,1,"{'model__n_estimators': 100, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 6}"
15,1,26,7,0.6818181818181818,0.9629629629629629,0.8771043771043772,0.8929726018593815,0.7894736842105263,0.9375,0.8223905723905723,2,"{'model__n_estimators': 50, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': None}"
15,2,24,7,0.6818181818181818,0.9230769230769231,0.8688811188811189,0.8810190811861935,0.7692307692307693,0.8823529411764706,0.8024475524475525,3,"{'model__n_estimators': 100, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': None}"
19,5,21,3,0.8636363636363636,0.8076923076923077,0.9020979020979021,0.8892143242532308,0.8260869565217391,0.7916666666666666,0.8356643356643356,4,"{'model__n_estimators': 100, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 6}"
16,3,23,6,0.7272727272727273,0.8846153846153846,0.8811188811188811,0.8832328802280585,0.7804878048780488,0.8421052631578947,0.8059440559440559,5,"{'model__n_estimators': 100, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 4}"
