TP,FP,TN,FN,sensitivity,specificity,roc_auc,pr_auc,f1,precision,balanced_accuracy,Fold,Best_Params
21,4,22,2,0.9130434782608695,0.8461538461538461,0.9331103678929766,0.9403851431998324,0.875,0.84,0.8795986622073578,1,"{'model__kernel': 'linear', 'model__gamma': 'scale', 'model__C': 10.0}"
15,2,25,7,0.6818181818181818,0.9259259259259259,0.9023569023569024,0.9076768309663046,0.7692307692307693,0.8823529411764706,0.8038720538720538,2,"{'model__kernel': 'linear', 'model__gamma': 'scale', 'model__C': 1.0}"
16,3,23,6,0.7272727272727273,0.8846153846153846,0.8968531468531469,0.8979062866773246,0.7804878048780488,0.8421052631578947,0.8059440559440559,3,"{'model__kernel': 'linear', 'model__gamma': 'scale', 'model__C': 10.0}"
18,5,21,4,0.8181818181818182,0.8076923076923077,0.9020979020979021,0.8766636364514208,0.8,0.782608695652174,0.8129370629370629,4,"{'model__kernel': 'linear', 'model__gamma': 'scale', 'model__C': 1.0}"
17,3,23,5,0.7727272727272727,0.8846153846153846,0.9108391608391608,0.9067723625217905,0.8095238095238095,0.85,0.8286713286713286,5,"{'model__kernel': 'linear', 'model__gamma': 'scale', 'model__C': 1.0}"
