TP,FP,TN,FN,sensitivity,specificity,roc_auc,pr_auc,f1,precision,balanced_accuracy,Fold,Best_Params
20,5,21,3,0.8695652173913043,0.8076923076923077,0.931438127090301,0.9368121658722681,0.8333333333333334,0.8,0.8386287625418061,1,{'model__C': 10.0}
16,3,24,6,0.7272727272727273,0.8888888888888888,0.8956228956228957,0.9083624515319562,0.7804878048780488,0.8421052631578947,0.8080808080808081,2,{'model__C': 0.1}
15,4,22,7,0.6818181818181818,0.8461538461538461,0.8776223776223777,0.8872807835780584,0.7317073170731707,0.7894736842105263,0.763986013986014,3,{'model__C': 1.0}
18,6,20,4,0.8181818181818182,0.7692307692307693,0.8951048951048951,0.8683833095738528,0.782608695652174,0.75,0.7937062937062938,4,{'model__C': 0.1}
18,3,23,4,0.8181818181818182,0.8846153846153846,0.9020979020979021,0.8964080048946994,0.8372093023255814,0.8571428571428571,0.8513986013986015,5,{'model__C': 1.0}
