TP,FP,TN,FN,sensitivity,specificity,roc_auc,pr_auc,f1,precision,balanced_accuracy,Fold,Best_Params
19,6,20,4,0.8260869565217391,0.7692307692307693,0.8235785953177257,0.7904052411855564,0.7916666666666666,0.76,0.7976588628762542,1,"{'model__min_samples_split': 4, 'model__min_samples_leaf': 4, 'model__max_depth': 3}"
14,4,23,8,0.6363636363636364,0.8518518518518519,0.8030303030303032,0.743965301738411,0.7,0.7777777777777778,0.7441077441077442,2,"{'model__min_samples_split': 4, 'model__min_samples_leaf': 4, 'model__max_depth': 3}"
15,1,25,7,0.6818181818181818,0.9615384615384616,0.8181818181818182,0.8520421607378129,0.7894736842105263,0.9375,0.8216783216783217,3,"{'model__min_samples_split': 4, 'model__min_samples_leaf': 4, 'model__max_depth': 5}"
16,6,20,6,0.7272727272727273,0.7692307692307693,0.8103146853146854,0.7849315989021871,0.7272727272727273,0.7272727272727273,0.7482517482517483,4,"{'model__min_samples_split': 4, 'model__min_samples_leaf': 4, 'model__max_depth': 5}"
17,8,18,5,0.7727272727272727,0.6923076923076923,0.8417832167832169,0.7913580362656347,0.723404255319149,0.68,0.7325174825174825,5,"{'model__min_samples_split': 4, 'model__min_samples_leaf': 4, 'model__max_depth': 5}"
