Feature,Coefficient
ca,1.7474558149947002
sex,0.8857958224841861
cp,0.6616839298932334
slope,0.625501236789986
thal,0.5736114859497615
restecg,0.38046272036560796
trestbps,0.3566069531024756
chol,0.34459722485903727
exang,0.3028180031868778
oldpeak,-0.02847278699586866
age,-0.13924353776924306
fbs,-0.31459568631388907
thalach,-0.4825211302877156
