TP,FP,TN,FN,sensitivity,specificity,roc_auc,pr_auc,f1,precision,balanced_accuracy,Fold,Best_Params
20,3,23,3,0.8695652173913043,0.8846153846153846,0.94314381270903,0.951167455956795,0.8695652173913043,0.8695652173913043,0.8770903010033444,1,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 7, 'model__iterations': 100, 'model__depth': 5}"
15,1,26,7,0.6818181818181818,0.9629629629629629,0.8787878787878788,0.8971322621743036,0.7894736842105263,0.9375,0.8223905723905723,2,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 7, 'model__iterations': 100, 'model__depth': 3}"
15,2,24,7,0.6818181818181818,0.9230769230769231,0.8846153846153846,0.8872113531713846,0.7692307692307693,0.8823529411764706,0.8024475524475525,3,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 7, 'model__iterations': 100, 'model__depth': 3}"
18,6,20,4,0.8181818181818182,0.7692307692307693,0.8793706293706294,0.8644005582402712,0.782608695652174,0.75,0.7937062937062938,4,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 3}"
17,3,23,5,0.7727272727272727,0.8846153846153846,0.9020979020979021,0.8934899690650717,0.8095238095238095,0.85,0.8286713286713286,5,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 100, 'model__depth': 3}"
